Year,Age ,Sex,People ,
2083,40,1,28476815,
2084,40,1,28432116,
2085,40,1,28383172,
2086,40,1,28322079,
2087,40,1,28224454,
2088,40,1,28081654,
2089,40,1,27904256,
2090,40,1,27705946,
2091,40,1,27483881,
2092,40,1,27216025,
2093,40,1,26901839,
2094,40,1,26556374,
2095,40,1,26191322,
2096,40,1,25822192,
2097,40,1,25458195,
2098,40,1,25102748,
2099,40,1,24755664,
2100,40,1,24412015,
1990,45,1,25892513,
1991,45,1,26437617,
1992,45,1,27485214,
1993,45,1,28864776,
1994,45,1,30285792,
1995,45,1,32693846,
1996,45,1,34311219,
1997,45,1,36585961,
1998,45,1,38789746,
1999,45,1,41247845,
2000,45,1,43090232,
2001,45,1,44540142,
2002,45,1,45225741,
2003,45,1,46214527,
2004,45,1,44270556,
2005,45,1,41767583,
2006,45,1,38576489,
2007,45,1,37225231,
2008,45,1,41019238,
2009,45,1,46162737,
2010,45,1,50938028,
2011,45,1,57589198,
2012,45,1,61026925,
2013,45,1,59909804,
2014,45,1,60983099,
2015,45,1,61826449,
2016,45,1,62456006,
2017,45,1,63225841,
2018,45,1,62883500,
2019,45,1,60789624,
2020,45,1,58383304,
2021,45,1,55312506,
2022,45,1,52588309,
2023,45,1,49844961,
2024,45,1,47889645,
2025,45,1,46799873,
2026,45,1,45953043,
2027,45,1,48533723,
2028,45,1,49400808,
2029,45,1,49831728,
2030,45,1,50323721,
2031,45,1,52241606,
2032,45,1,53328723,
2033,45,1,55666858,
2034,45,1,58552099,
2035,45,1,63348981,
2036,45,1,63509744,
2037,45,1,61117612,
2038,45,1,59150372,
2039,45,1,56851345,
2040,45,1,52490047,
2041,45,1,51192363,
2042,45,1,49892299,
2043,45,1,48511088,
2044,45,1,46784643,
2045,45,1,44868796,
2046,45,1,43121473,
2047,45,1,41693892,
2048,45,1,40473702,
2049,45,1,39583489,
2050,45,1,39125032,
2051,45,1,38952984,
2052,45,1,39145201,
2053,45,1,39796175,
2054,45,1,40581754,
2055,45,1,41259981,
2056,45,1,41866837,
2057,45,1,42644513,
2058,45,1,42921379,
2059,45,1,42808184,
2060,45,1,42295201,
2061,45,1,42068190,
2062,45,1,42218637,
2063,45,1,41843668,
2064,45,1,41110939,
2065,45,1,40011476,
2066,45,1,38702715,
2067,45,1,37087562,
2068,45,1,35812345,
2069,45,1,35230856,
2070,45,1,35310715,
2071,45,1,35038401,
2072,45,1,34235734,
2073,45,1,33636672,
2074,45,1,32824004,
2075,45,1,31949332,
2076,45,1,31273341,
2077,45,1,30659749,
2078,45,1,30126295,
2079,45,1,29673668,
2080,45,1,29314907,
2081,45,1,29036613,
2082,45,1,28825480,
2083,45,1,28676278,
2084,45,1,28573123,
2085,45,1,28506487,
2086,45,1,28463296,
2087,45,1,28430168,
2088,45,1,28394854,
2089,45,1,28351789,
2090,45,1,28304423,
2091,45,1,28244876,
2092,45,1,28148826,
2093,45,1,28007661,
2094,45,1,27831922,
2095,45,1,27635270,
2096,45,1,27414858,
2097,45,1,27148687,
2098,45,1,26836216,
2099,45,1,26492476,
2100,45,1,26129148,
1990,50,1,24149339,
1991,50,1,24240820,
1992,50,1,24341181,
1993,50,1,24245379,
1994,50,1,24598491,
1995,50,1,25053170,
1996,50,1,25584132,
1997,50,1,26602794,
1998,50,1,27939559,
1999,50,1,29316003,
2000,50,1,31652589,
2001,50,1,33218064,
2002,50,1,35432972,
2003,50,1,37581061,
2004,50,1,39980530,
2005,50,1,41794087,
2006,50,1,43215403,
2007,50,1,43903062,
2008,50,1,44886922,
2009,50,1,43012706,
2010,50,1,40600226,
2011,50,1,37508503,
2012,50,1,36219146,
2013,50,1,39961638,
2014,50,1,45002203,
2015,50,1,49682074,
2016,50,1,56183361,
2017,50,1,59549567,
2018,50,1,58493752,
2019,50,1,59578013,
2020,50,1,60431631,
2021,50,1,61073255,
2022,50,1,61836133,
2023,50,1,61515286,
2024,50,1,59493370,
2025,50,1,57167034,
2026,50,1,54195085,
2027,50,1,51563120,
2028,50,1,48910611,
2029,50,1,47025756,
2030,50,1,45985255,
2031,50,1,45179151,
2032,50,1,47749628,
2033,50,1,48624026,
2034,50,1,49067583,
2035,50,1,49569901,
2036,50,1,51478011,
2037,50,1,52582071,
2038,50,1,54909458,
2039,50,1,57775003,
2040,50,1,62530207,
